706,Somalia,Africa,18143.38,9185000000.00,1318057519.00,506.25,72646.75
320,Guatemala,North America,18092.03,95988000000.00,68762920570.00,5305.54,3800729.97
686,Senegal,Africa,17763.16,32107000000.00,14604520531.00,1807.50,822180.32
528,Netherlands,Europe,17618.30,1072790000000.00,777228000000.00,60890.61,44114812.44
116,Cambodia,Asia,16944.83,30239000000.00,20016747858.00,1784.56,1181289.39
716,Zimbabwe,Africa,16665.41,34654000000.00,16123763648.00,2079.40,967498.77
324,Guinea,Africa,14190.61,22945000000.00,8476136811.00,1616.91,597306.02
646,Rwanda,Africa,14094.68,13170000000.00,8473784827.00,934.39,601204.48
204,Benin,Africa,13712.83,20029000000.00,8893638002.00,1460.60,648563.28
108,Burundi,Africa,13238.56,3686000000.00,2873699606.00,278.43,217070.41
788,Tunisia,Africa,12458.22,0.00,41703561397.00,3347.47,3347473.51
68,Bolivia,South America,12388.57,43351000000.00,33806395465.00,3499.27,2728837.59
332,Haiti,North America,11724.76,21195000000.00,7647347306.00,1807.71,652239.13
56,Belgium,Europe,11686.14,639716000000.00,467955000000.00,54741.43,40043590.10
400,Jordan,Asia,11337.05,50461000000.00,38654647887.00,4450.98,3409586.08
214,Dominican Republic,North America,11332.97,116544000000.00,71583585170.00,10283.62,6316401.19
192,Cuba,North America,11194.45,0.00,89688700000.00,8011.89,8011889.82
728,South Sudan,Africa,11088.80,10771000000.00,6534451826.00,971.34,589283.95
752,Sweden,Europe,10612.09,669872000000.00,514476000000.00,63123.50,48480176.85
340,Honduras,North America,10593.80,31661000000.00,21516915353.00,2988.64,2031085.67
203,Czech Republic,Europe,10495.30,318938000000.00,195305000000.00,30388.66,18608805.85
31,Azerbaijan,Europe,10412.65,72912000000.00,37847204069.00,7002.25,3634733.14
300,Greece,Europe,10341.28,234808000000.00,192691000000.00,22705.90,18633186.61
598,Papua New Guinea,Oceania,10329.93,32334000000.00,19694115731.00,3130.13,1906510.09
620,Portugal,Europe,10247.61,267241000000.00,204837000000.00,26078.39,19988758.35
348,Hungary,Europe,10156.24,219463000000.00,125817000000.00,21608.69,12388147.58
762,Tajikistan,Asia,10143.54,7699000000.00,6951679338.00,759.01,685330.70
784,United Arab Emirates,Asia,9516.87,506234000000.00,348744000000.00,53193.32,36644821.25
112,Belarus,Europe,9498.24,60188000000.00,47408111179.00,6336.75,4991252.19
376,Israel,Asia,9174.52,547765000000.00,317748000000.00,59705.03,34633746.51
768,Togo,Africa,9053.80,9539000000.00,4449262345.00,1053.59,491424.85
40,Austria,Europe,8958.96,518808000000.00,390800000000.00,57909.40,43621134.60
756,Switzerland,Europe,8796.67,888199000000.00,668851000000.00,100969.92,76034567.63
694,Sierra Leone,Africa,8791.09,4266000000.00,3674756785.00,485.26,418009.23
418,Laos,Asia,7633.78,17996000000.00,15805707090.00,2357.42,2070495.49
344,Hong Kong,Asia,7491.61,391338000000.00,320912000000.00,52236.84,42836186.08
688,Serbia,Europe,7149.08,72587000000.00,38299871897.00,10153.34,5357314.77
558,Nicaragua,North America,7046.31,16776000000.00,13230214875.00,2380.82,1877608.97
434,Libya,Africa,6888.39,45195000000.00,42959534586.00,6561.04,6236513.12
600,Paraguay,South America,6861.52,44671000000.00,27165101909.00,6510.36,3959050.17
417,Kyrgyzstan,Asia,6735.35,9511000000.00,6551291140.00,1412.10,972672.71
100,Bulgaria,Europe,6687.72,97798000000.00,53239643485.00,14623.53,7960806.30
795,Turkmenistan,Asia,6516.10,84893000000.00,36179885714.00,13028.19,5552383.44
222,El Salvador,North America,6364.94,32223000000.00,26797469656.00,5062.57,4210168.46
178,Republic of the Congo,Africa,6106.87,15641000000.00,7778081883.00,2561.21,1273660.96
702,Singapore,Asia,6014.72,450999000000.00,296946000000.00,74982.51,49369879.23
208,Denmark,Europe,5910.91,419266000000.00,306900000000.00,70930.84,51920939.42
703,Slovakia,Europe,5795.20,131046000000.00,89768598023.00,22612.86,15490163.93
140,Central African Republic,Africa,5742.32,2877000000.00,1810388740.00,501.02,315271.31
